"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"2","C3, C4","2","22uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"3","C5","1","22nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"4","C6, C7","2","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"5","D1","1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"6","D2, D3","2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"7","H1, H2, H4","3","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"8","H3","1","MountingHole","MountingHole:MountingHole_3mm",""
"9","J1","1","Eurorack style bus","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"10","J2","1","CV In","",""
"11","J3","1","Output","",""
"12","J4","1","GND","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"13","Q1","1","BC559","Package_TO_SOT_THT:TO-92_Inline",""
"14","R1","1","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R2, R5","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R3","1","10M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R4","1","330k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","R6","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"19","R7, R9","2","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"20","R8","1","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"21","RV1","1","22k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"22","RV2","1","47k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"23","SW1, SW2","2","SW_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"24","U1","1","LM13600","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"25","U2","1","CA3046","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"26","U3","1","LM741","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
